claim,cleaned_claim,source_label,normalized_label,source_category
مسحات كورونا تقوم بإعطاء اللقاح للأشخاص ولقاح كورونا يتسبب في تغير الحمض النووي,مسح ورو قام إعطاء لقاح شخص لقاح ورو تسبب تغير حمض نوو,fake,False,اجتماعي
"""جامعة كاليفورنيا: فيروس كورونا يقتل نفسه بالطفرة الجديدة وسينتهي خلال شهرين مثل نهاية سارس""",جامع يفورنيا يروس ورو قتل نفس طفر جديد سين شهر نهاي سارس,fake,False,اجتماعي
رئيس الولايات المتحدة يستقل طائرة شحن يحرسها رجال يرتدون ملابس مدنية.,رييس ولاية متحد استقل طاير شحن يحرس رجل ارتدى ملبس مدني, مضلل ,Partly-false,سياسة
علاء شاب حاصل على شهادة الماجستير، يوميًا يرتدي ثوب التخرّج عن قصد، ليعمل منظّف أحذية بعد أن أكمل دراسته، ليستطيع أن يكمل حياته بسبب قلة فرص العمل في مجال الشهادة الجامعية التي يحملها.,علاء شاب حاصل شهاد ماجستير يومي ارتد ثوب خرج قصد عمل منظف احذي أكمل دراسة استطاع أكمل حية قال فرصة عمل مجال شهاد جامعي حمل, مضلل ,Partly-false,لايف ستايل
صورة مسجد في اليابان.,صورة مسجد يابان, مضلل ,Partly-false,روحانيات ودين
ماكرون يعلن رسميًا عن مشاركة الجيش الجزائري في عمليات الساحل تحت قيادة الجيش الفرنسي.,ماكر أعلن رسمي مشارك جيش جزاير عملية ساحل قياد جيش فرنس, زائف ,False,سياسة
طارق شوقي يرفض منصب المستشار العلمي لألمانيا لتكملة مسيرة إصلاح التعليم في مصر.,طارق شوق رفض منصب مستشار علم الماني أكمل مسير إصلاح تعليم مصر, زائف ,False,أخبار
صورة تظهر تحركات عناصر تنظيم القاعدة، ترافقهم طائرات الأباتشي الأميركية لحمايتهم وتأمين انتقالهم من محافظة حضر موت الى محافظة مأرب.,صورة ظهر تحرك عنصر تنظيم قاعد رافق طاير اباتش أميركي حماية تام انتقال محافظ حضر موت محافظ مارب, زائف ,False,سياسة
مدرب نادي بورتو كان منهزمًا بثنائية مقابل لا شيء، حتى شارك ابنه كبديل في المباراة ونجح الفريق في قلب النتيجة ليفوز بثلاثية.,مدرب نادي رتو منهزم ثنايي مقابل شيء شارك ابن بديل مبارا نجح فريق قلب نتيج فاز ثلاثي, زائف ,False,رياضة
وفاة أديب اليمن الكبير د. عبد العزيز المقالح.,فا أديب يمن كبير عبد عزيز مقالح, زائف ,False,ثقافة وفن
"جو بايدن: ""العراق في زمن نوري المالكي كان مستقرًا ولابد للعراق أن يستعيد أمنه واستقراره ولابد أن يعم الأمن والأمان في العراق بعيدًا عن الميلشيات الخارجة عن القانون"".",جو ايدن عراق زمن نور مالك مستقر بد عراق استعاد أمن استقرار بد عم أمن أمان عراق عيد ميلشيات خارج قانون, زائف ,False,سياسة
مؤمن زكريا يعلن أنه سيعود لتدريبات النادي الأهلي يوم 1 مارس/آذار المُقبل.,مومن زكريا أعلن عاد تدريب نادي أهل يوم واحد مارساذار مقبل, زائف ,False,رياضة
بتر قدم الفنان الأردني متعب الصقار بسبب تدهور حالته جراء مرض السكري.,بتر قدم فنان اردن متعب صقار تدهور حال جراء مرض سكر, مضلل ,Partly-false,موسيقى
مظاهرات في مدريد ضد القيود المفروضة للحد من انتشار فايروس كورونا المستجد.,مظاهرة مدريد ضد قيد مفروض حد انتشار ايروس ورو مستجد, مضلل ,Partly-false,صحة
الثلوج تغطي مدينة دمشق,ثلج تغط مدين دمشق,sarcastic,Sarcasm,اجتماعي
⁩ تركيا تكشف عن الزي العسكري الجديد الذي لا تكتشفه الأشعة تحت الحمراء وفوق البنفسجية والمناضير الحرارية والليلية,تركيا كشف زي عسكر جديد اكتشف اشع أحمر فوق بنفسجي مناضير حراري ليلي,misleading-title,False,اجتماعي
فايروس كورونا لا ينتقل باللمس والمصافحة ولا يعيش على الأسطح,ايروس ورو انتقل لمس مصافح عاش اسطح,fake,False,طبي
"شاب فلسطيني يُدعى لؤي البسيوني صمم الروبوت أو مركبة ""المُثابرة"" الخاصة بناسا، والتي هبطت على سطح المريخ مؤخرًا.",شاب سط ودع لو سيون صمم روبوت مركب مثابر خاص ناس هبط سطح مريخ موخر, مضلل ,Partly-false,علوم
تسميم هيلاري كلينتون باستخدام السمّ نفسه الذي وُضع للمعارض الروسي أليكسي نافالني.,تسميم هيلار لينتون استخدام سم نفس وضع معارض روسي يكس نافالن, زائف ,False,سياسة
فيديو للجيش اليمني يرفع علم الجمهورية أعلى قمة جبل هيلان في اليمن.,يديو جيش يمن رفع جمهوري اعل قم جبل هيلان يمن, مضلل ,Partly-false,سياسة
صورة من الذكرى الثانية للحراك الجزائري 22 فبراير/شباط 2021.,صورة ذكر ثاني حراك جزاير اثنان وعشرون برايرشباط ألفان وواحد وعشرون, مضلل ,Partly-false,أخبار
"نتنياهو: شركة فايزر ستزوّد ""إسرائيل"" بلقاح كورونا بشكل مستمر، ولن يكون نقصان فيه.",نتنياهو شرك ايزر زود اسراييل لقاح ورو شكل مستمر كان نقصان, إثارة ,Partly-false,سياسة
"صورة تُظهر الإطاحة بمجموعة داعشية من قِبل ""أبطال سرايا السلام مع القوات الأمنية البطلة""، في قضاء الطارمية في العراق، ويُطلق على المجموعة اسم ""الواوي"".",صورة ظهر أطاح مجموع داعشي ابطال سرية سلام قوة أمني بطل قضاء طارمي عراق أطلق مجموع اسم واو, مضلل ,Partly-false,سياسة
اخطبوط المحيط الهاديء العملاق برفقة غواص,اخطبوط محيط هاديء عملاق رفق غواص,fake,False,اجتماعي
صورة إرهابي في إندونيسيا دعا الناس إلى معانقته ولما تجمع بعض الأشخاص حوله فجّر نفسه فيهم.,صورة إرهاب إندونيسيا دعا ناس معانقة ما جمع أشخاص حول فجر نفس هم,fake,False,اجتماعي
طريق الموت المحتوم للمليشيات الحوثية في مأرب,طريق موت محتوم مليشي حوثي مارب,misleading-title,False,سياسي
صور مباشرة من وهران، تظهر فيها الشرطة وهي تقمع المتظاهرين في الذكرى الثانية للحراك الشعبي.,صورة مباشر هران ظهر شرط قمع متظاهر ذكر ثاني حراك شعب, مضلل ,Partly-false,أخبار
صورة الطائرة الأميركية المسيّرة عن بعد، والتي تم السيطرة عليها بواسطة أنظمة الدفاع الجوي المصرية، على الحدود المصرية الليبية. أكدت مجلة فورين بوليسي الأميركية، منذ أيام، صحة الخبر.,صورة طاير أميركي مسير تم سيطر واسط انظم دفاع جو مصري حد مصري ليبي أكد مجل ور ليس أميركي أيام صح خبر, مضلل ,Partly-false,سياسة
صورة زي عسكري تركي جديد، لا تكشفه الأشعة تحت الحمراء والأشعة فوق البنفسجية، أو المناظير الحرارية والليلية.,صورة زي عسكر ترك جديد كشف اشع أحمر اشع بنفسجي منظار حراري ليلي, مضلل ,Partly-false,أخبار
مقطع فيديو رفض فيه اللاعب كريستيانو رونالدو تبادل القمصان، مع اللاعب الأيسلندي الصهيوني.,مقطع يديو رفض لاعب ريستيانو رونالدو تبادل قميص لاعب ايسلند صهيون, مضلل ,Partly-false,رياضة
الممثل السوري عبد الهادي الصباغ يصاب بوعكة صحية تمنعه عن التمثيل والاستمرار في أداء أدواره الحالية في الدراما السورية.,ممثل سور عبد هادي صباغ أصاب وعك صحي منع تمثيل استمرار أداء ادوار حال دراما سوري, زائف ,False,ثقافة وفن
صورة لأسرى خلال عملية اقتحام قوات الحشد الشعبي العراقي لمدينة الطارمية السبت 20 فبراير/شباط الجاري.,صورة أسر عمل اقتحام قوة حشد شعب عراق مدين طارمي سب عشرون برايرشباط جار, مضلل ,Partly-false,سياسة
عندما يبدع الخالق، هذه ليست ثغرة في جبال يظهر القمر من خلالها، بل هي بحيرة صغيرة عكست صورة القمر لحظة التقائهما.,أبدع خالق ثغر جبل ظهر قمر خلال حير صغير عكس صورة قمر حظ تقا, زائف ,False,ثقافة وفن
مقطع فيديو يظهر استهدافًا مباشرًا لآلية عسكرية حوثية من قبل القوات المسلحة اليمنية وقوات المقاومة.,مقطع يديو ظهر استهداف مباشر الي عسكري حوثي قوة مسلح يمني قوة مقاوم, مضلل ,Partly-false,سياسة
الاتحاد الأوروبي يهدد السلطة الوطنية الفلسطينية بوقف المساعدات المالية في حال عدم إجراء انتخابات برلمانية في مايو/أيار المقبل.,اتحاد اوروب هدد سلط وطني فلسطيني وقف مساعدة مالي حال عدم اجراء انتخاب رلماني مايوايار مقبل, زائف ,False,سياسة
الرئيس الأميركي جو بايدن التقى زوجته الثانية قبل وفاة الأولى، وكانت وقتها مربية أطفال في عائلته وتحت السن القانوني.,رييس امير جو ايدن تق زوج ثاني فا كان قت مربي أطفال عايل سن قانون, زائف ,False,أخبار
باحثون إسلاميون: ‏تلقي لقاح فايروس كورونا المستجد أثناء الصيام في شهر رمضان لا يفطر.,احث إسلامي لقي قاح ايروس ورو مستجد أثناء صيام شهر رمضان أفطر, صحيح ,True,روحانيات ودين
ابتكار رذاذ أنف إسرائيلي يقلل عدوى كورونا في التجمعات.,ابتكار رذاذ انف اسراييل قلل عدو ورو تجمع, إثارة ,Partly-false,صحة
صورة تُظهر غواصًا وأخطبوطًا عملاقًا في أعماق البحار.,صورة ظهر غواص اخطبوط عملاق أعماق بحر, زائف ,False,أخبار
استحداث كعبة جديدة في محافظة كربلاء العراقية بين المرقدين للطائفة الشيعية.,استحداث عب جديد محافظ ربلاء عراقي مرقد طايف شيعي, مضلل ,Partly-false,روحانيات ودين
مقطع فيديو لفارسات سعوديات خلال بطولة كأس السعودية 2021.,مقطع يديو فارس سعودي طول كاس سعودي ألفان وواحد وعشرون, مضلل ,Partly-false,أخبار
ارتداء الكمامة لأوقات طويلة يؤدي إلى التسمم بثاني أكسيد الكربون.,ارتداء كمام أوقات طويل ود تسمم ثاني أكسيد كربون, مضلل ,Partly-false,صحة
صورةً تظهر تراكم الثلوج على جانبي طريق في مدينة دمشق السورية أو في ريفها.,صورة ظهر تراكم ثلج جانب طريق مدين دمشق سوري ريف, مضلل ,Partly-false,أخبار
اعتقال النائب العراقي كاظم الصيادي في مطار بغداد الدولي، حين حاول تهريب ثلاثة ملايين دولار إلى بيروت.,اعتقال نايب عراق اظم صياد مطار غداد دولة حاول تهريب ثلاث ملاي يروت, مضلل ,Partly-false,أخبار
إحصائية تُظهر أكثر الشعوب العربية تفاعلًا على منصات التواصل الاجتماعي خلال عام 2020.,احصايي ظهر شعب عربي تفاعل منصة واصل اجتماع عام ألفان وعشرون, زائف ,False,أخبار
شخص يؤدي حركات راقصة خلف رئيس وزراء إيطاليا الجديد خلال إلقائه كلمة رسمية.,شخص ود حركة راقص رييس زراء ايطاليا جديد قاي لم رسمي, ساخر ,Sarcasm,أخبار
صورة عربات عسكرية للحوثيين، تمّ تدميرها في معارك مأرب الأخيرة.,صورة عربة عسكري حوثي تم تدمير معركة مارب أخير, مضلل ,Partly-false,سياسة
صورة لأحد عناصر الجيش المصري.,صورة أحد عنصر جيش مصر, زائف ,False,سياسة
صور ومقاطع فيديو لأسود ودببة وسط الثلوج في محمية المأوى الطبيعية في مدينة جرش في الأردن .,صورة مقطع يديو اسود دبب وسط ثلج محمي ماو طبيعي مدين جرش اردن, صحيح ,True,علوم
موكب رغد صدام حسين,موكب رغد صدام حس,misleading-title,False,اجتماعي
مقطع فيديو يظهر مشاهدَ وأصواتًا من كوكب المريخ لأول مرة، بثها مسبار ناسا بيرسفيرانس، الذي هبط على سطح الكوكب يوم 18 فيراير/شباط الجاري.,مقطع يديو ظهر مشهد اصوات كب مريخ أول مر ث مسبار ناس يرسفيرانس هبط سطح كوكب يوم ثمانية وعشرة يرايرشباط جار, زائف ,False,علوم
رسالة قديمة باللغة العربية بعثها ملك إنجلترا جورج الثاني إلى خليفة المسلمين في الأندلس هشام الثالث ، ويطلب فيها السماح لبناته بإكمال دراستهن في الجامعات الأندلسية.,رسال قديم لغ عربي عث ملك انجلترا جورج ثاني خليف مسلم اندلس هشام ثالث طلب سماح بنت إكمال دراسة جامعة اندلسي,fake,False,اجتماعي
اعتزال الفنان نبيل شعيل وتسجيله سورة الرحمن.,اعتزال فنان نبيل شعيل تسجيل سور رحمن, زائف ,False,ثقافة وفن
لقاح كورونا المسئول عن وفاة 761 من كبار السن في أسبانيا,قاح ورو مسيول فا سبعمئة وواحد وستون بار سن إسبانيا,misleading-title,False,طبي
سيتم نقل أسواق الموسكي والعتبة والفجالة من وسط مدينة القاهرة إلى شرقها، ضمن خطة تطوير المدينة، التي تتضمن التخلص من الأسواق العشوائية، وإنشاء مراكز تجارية بدلًا منها.,تم نقل أسواق موسك عتب فجال وسط مدين قاهر شرق ضمن خط تطوير مدين تضمن تخلص أسواق عشوايي إنشاء مركز تجاري دل, زائف ,False,أخبار
صورة تظهر الممثل الأميركي مورغان فريمان مرتديًا زيًّا مغربيًّا ويشرب الشاي.,صورة ظهر ممثل امير مورغان ريمان مرتدي زي مغربي شرب شا, زائف ,False,ترفيه
"الطبيب الجزائري حسام ظافر من محافظة جلفة، يعالج المرضى المحتاجين مجانًا وشعاره ""العلاج مجاني لمن لا يملك ثمنه هذا حقك ولا منة لأحد"".",طبيب جزاير حسام ظافر محافظ جلف عالج مرض محتاج مجان شعار علاج مجان من ملك ثمن حق أحد, مضلل ,Partly-false,صحة
جهاز اخترعته كوريا الشمالية، يجعل المشلول قادرًا على المشي.,جهاز اخترع ري شمالي جعل مشلول قادر مش, مضلل ,Partly-false,تكنولوجيا
الصحف الصينية كتبت أن طريقًا سريعًا انهار في أحد شوارعها الرئيسية، فسارعت الحكومة لبنائه في 22 ساعة.,صحيفة صيني بت طريق سريع انهار أحد شارع رييسي سارع حكوم ناي اثنان وعشرون ساعي, مضلل ,Partly-false,أعمال
"المريخ السوداني يشكو ""كهربا"" للاتحاد الأفريقي.",مريخ سودان شكا هرب اتحاد افريق, زائف ,False,رياضة
صور لرجال إطفاء سلطنة عُمان أثناء حريق الوادي الكبير.,صورة رجل إطفاء سلطن عمان أثناء حريق واد كبير, مضلل ,Partly-false,أخبار
اعتقلت الشرطة في العراق مجموعة شبان كسروا الحجر الصحي الذي فرض بسبب فايروس كورونا المستجد، فتعطلت سيارة الشرطة، ونزل الشبان ليدفعوا السيارة إلى مركز الشرطة.,اعتقل شرط عراق مجموع شاب سر حجر صح فرض ايروس ورو مستجد تعطل سيار شرط نزل شاب دفع سيار مركز شرط, مضلل ,Partly-false,أخبار
في هولندا سوق لبيع الفتيات ذوات الشعر الاحمر يترواح اسعارهن من 100$ الى 300$ حسب العمر و الجمال,هولاندا سوق بيع فتاة ذوات شعر احمر يترواح اسعار مئة ثلاثمئة عمر جمال,misleading-title,False,اجتماعي
فندق للعرسان في المانيا,دق عريس مانيا,fake,False,اجتماعي
تجرح البجع صدورها بنفسها في اوقات الندرة لاطعام صغارها,جرح بجع صدور نفس أوقات ندر إطعام صغير,misleading,False,علوم
"""وفي هذه اللحظة التاريخية، نزلت المركبة الأميركية المثابرة على سطح المريخ بنجاح بقيادة التونسي محمد عبيد، بعد رحلة استمرت سبعة أشهر في مهمة تستمر لتسع سنوات"".",لحظ تاريخي نزل مركب أميركي مثابر سطح مريخ نجاح قياد تونس محمد عبيد رحل استمر سبع أشهر مهم استمر تسع سنة, إثارة ,Partly-false,تكنولوجيا
اللقاح يفتك بالناس أكثر من المرض نفسه !!!,لقاح يفتك ناس مرض نفس,missing-content,Partly-false,طبي
صورة لأطفال يمنيين يعانون من مرض جلدي في أقدامهم.,صورة أطفال يمني عانى مرض جلد إقدام, مضلل ,Partly-false,صحة
بروفيسور إسرائيلي وجد دواء فايروس كورونا المستجد.,روفيسور اسراييل دواء ايروس ورو مستجد, إثارة ,Partly-false,صحة
مفاوضات من نادي كريستال بالاس لضم مصطفى محمد.,مفاوضة نادي ريستال اس ضم مصطف محمد, زائف ,False,رياضة
صورة حديثة من مكتب ترامب في ولاية فلوريدا.,صورة حديث مكتب ترامب لاي وريد, مضلل ,Partly-false,سياسة
"إرهابي في إندونيسيا رفع لافتة مكتوب عليها ""أنا مسلم وأثق فيك، إن كنت تثق بي كفاية، عانقني""، فتجمع مجموعة من البشر حوله ليفجر نفسه بهم.",إرهاب إندونيسيا رفع افت مكتوب مسلم اثق في كان وثق فاي عانقن جمع مجموع بشر حول فجر نفس, زائف ,False,أخبار
يحدث في الأردن، العثور على طفلة في كيس أسود في حاوية للقمامة.,حدث اردن عثور طفل كيس اسود حاوي قمام, مضلل ,Partly-false,أخبار
شاب جزائري ينشغل بهاتفه ويسقط في حفرة.,شاب جزاير انشغل هاتف سقط حفر, مضلل ,Partly-false,أخبار
موكب وصول رغد صدام حسين إلى العراق.,موكب صول رغد صدام حس عراق, مضلل ,Partly-false,أخبار
صورة تظهر فندق زفاف في ألمانيا أو إسبانيا.,صورة ظهر دق زفاف مانيا إسبانيا, مضلل ,Partly-false,ترفيه
"""غايسين أيرات رايفاتوفيتش"" أول شخصية روسية تتسلّم منصبًا إداريًّا في سورية.",غايس اير رايفاتوفيتش أول شخصي روسي تسلم منصب اداري سوري, مضلل ,Partly-false,سياسة
لحظة خروج سامي الفهري من السجن مساء أمس.,حظ خروج سام فهر سجن أمس, مضلل ,Partly-false,أخبار
صورة لورقة نقدية من فئة عشرة آلاف ليرة طرحها النظام السوري في الأسواق.,صورة ورقة نقدي عشر اف رأى طرح نظام سور أسواق, زائف ,False,أعمال
أردوغان يطالب الشعب التركي بزيادة الإنجاب؛ لتصل تركيا إلى 300 مليون نسمة ومنح كل طفل يولد 100$ شهريًا لتحفيز الشعب على زيادة النسل.,اردوغان طالب شعب ترك زياد إنجاب وصل تركيا ثلاثمئة مليون نسم منح طفل ولد مئة شهري تحفيز شعب زياد نسل, زائف ,False,أخبار
"أحمد موسى: ""مصر نجحت في تنظيم مونديال اليد وقطر سرقت فكرة الفقاعة مننا"".",أحمد موس مصر نجح تنظيم مونديال يد قطر سرق كر فقاع من, مضلل ,Partly-false,رياضة
حجر واحد من إجمالي مليون و600 ألف قطعة حجرية هم عدد أحجار الهرم الأكبر.,حجر اجمال مليون ستمئة ألف قطع حجري عدد أحجار هرم أكبر, مضلل ,Partly-false,أخبار
